Year,Block,Treatment,Yield
1999,1,Variety A,4.776113643
1999,2,Variety A,4.167309262
1999,3,Variety A,7.449164952
1999,4,Variety A,7.757967337
1999,1,Variety B,8.6989031
1999,2,Variety B,6.332884039
1999,3,Variety B,9.673666482
1999,4,Variety B,10.81933243
1999,1,Variety C,9.663780964
1999,2,Variety C,7.861877074
1999,3,Variety C,12.72423637
1999,4,Variety C,8.837111214
1999,1,Variety D,5.968923961
1999,2,Variety D,7.078335949
1999,3,Variety D,9.021241207
1999,4,Variety D,8.428939255
2000,1,Variety A,3.91823493
2000,2,Variety A,4.58761123
2000,3,Variety A,7.64636576
2000,4,Variety A,7.91800989
2000,1,Variety B,9.06640113
2000,2,Variety B,6.31342374
2000,3,Variety B,7.57774909
2000,4,Variety B,10.95260769
2000,1,Variety C,9.41454649
2000,2,Variety C,8.40584383
2000,3,Variety C,13.03441029
2000,4,Variety C,7.72061644
2000,1,Variety D,6.65400835
2000,2,Variety D,6.56413817
2000,3,Variety D,8.33194168
2000,4,Variety D,8.85568545
